Surface [m2],Rooms,Price [CHF/month],Country,City
53.0,2.0,1039,Germany,Freiburg
38.0,2.0,773,Germany,Freiburg
82.0,3.0,1169,Germany,Freiburg
97.0,3.0,679,Germany,Freiburg
52.0,2.0,856,Germany,Freiburg
123.0,3.0,1670,Germany,Freiburg
60.0,2.0,1253,Germany,Freiburg
105.0,4.0,2453,Germany,Freiburg
23.0,1.0,658,Germany,Freiburg
100.0,3.0,887,Germany,Freiburg
60.0,2.0,992,Germany,Freiburg
43.0,2.0,642,Germany,Freiburg
43.0,2.0,835,Germany,Freiburg
70.0,3.0,1409,Germany,Freiburg
70.0,2.0,762,Germany,Freiburg
75.0,3.0,1299,Germany,Freiburg
42.0,5.0,699,Germany,Freiburg
73.0,3.0,1231,Germany,Freiburg
113.0,4.0,2045,Germany,Freiburg
42.0,2.0,861,Germany,Freiburg
44.0,2.0,647,Germany,Freiburg
55.0,2.0,668,Germany,Freiburg
92.0,3.0,887,Germany,Freiburg
52.0,2.0,616,Germany,Freiburg
60.0,2.0,1034,Germany,Freiburg
63.0,2.0,1357,Germany,Freiburg
59.0,2.0,835,Germany,Freiburg
32.0,3.0,559,Germany,Freiburg
64.0,3.0,1503,Germany,Freiburg
64.0,2.0,1566,Germany,Freiburg
49.0,1.0,825,Germany,Freiburg
64.0,3.0,1180,Germany,Freiburg
82.0,3.0,1775,Germany,Freiburg
30.0,2.0,1044,Germany,Freiburg
68.0,2.0,1253,Germany,Freiburg
60.0,2.0,791,Germany,Freiburg
42.0,1.0,606,Germany,Freiburg
30.0,2.0,741,Germany,Freiburg
120.0,4.0,835,Germany,Freiburg
100.0,4.0,1044,Germany,Freiburg
63.0,2.0,512,Germany,Freiburg
65.0,3.0,1044,Germany,Freiburg
69.0,3.0,1535,Germany,Freiburg
33.0,2.0,438,Germany,Freiburg
70.0,3.0,1023,Germany,Freiburg
36.0,2.0,689,Germany,Freiburg
85.0,4.0,679,Germany,Freiburg
96.0,3.0,1039,Germany,Freiburg
40.0,2.0,668,Germany,Freiburg
60.0,2.0,418,Germany,Freiburg
37.0,2.0,626,Germany,Freiburg
82.0,3.0,1409,Germany,Freiburg
35.0,3.0,887,Germany,Freiburg
60.0,3.0,804,Germany,Freiburg
62.0,2.0,1112,Germany,Freiburg
100.0,5.0,522,Germany,Freiburg
60.0,2.0,705,Germany,Freiburg
55.0,2.0,1023,Germany,Freiburg
70.0,3.0,940,Germany,Freiburg
120.0,5.0,1,Germany,Freiburg
50.0,2.0,626,Germany,Freiburg
43.0,2.0,971,Germany,Freiburg
60.0,3.0,1397,Germany,Freiburg
50.0,2.0,908,Germany,Freiburg
45.0,2.0,783,Germany,Freiburg
50.0,2.0,887,Germany,Freiburg
56.0,2.0,898,Germany,Freiburg
65.0,2.0,877,Germany,Freiburg
64.0,3.0,835,Germany,Freiburg
40.0,2.0,626,Germany,Freiburg
70.0,2.0,1013,Germany,Freiburg
70.0,3.0,1389,Germany,Freiburg
52.0,2.0,783,Germany,Freiburg
43.0,2.0,699,Germany,Freiburg
37.0,2.0,574,Germany,Freiburg
93.0,4.0,1775,Germany,Freiburg
40.0,2.0,647,Germany,Freiburg
32.0,2.0,877,Germany,Freiburg
120.0,5.0,2506,Germany,Freiburg
75.0,3.0,1201,Germany,Freiburg
80.0,3.0,522,Germany,Freiburg
55.0,2.0,1086,Germany,Freiburg
55.0,2.0,574,Germany,Freiburg
39.0,1.0,668,Germany,Freiburg
48.0,2.0,940,Germany,Freiburg
42.0,1.0,689,Germany,Freiburg
58.0,1.0,1054,Germany,Freiburg
80.0,2.0,1044,Germany,Freiburg
55.0,2.0,626,Germany,Freiburg
62.0,3.0,658,Germany,Freiburg
57.0,2.0,1221,Germany,Freiburg
38.0,2.0,934,Germany,Freiburg
82.0,2.0,981,Germany,Freiburg
65.0,2.0,1472,Germany,Freiburg
12.0,4.0,354,Germany,Freiburg
90.0,4.0,1044,Germany,Freiburg
74.0,2.0,679,Germany,Freiburg
32.0,2.0,992,Germany,Freiburg
56.0,2.0,1117,Germany,Freiburg
50.0,2.0,699,Germany,Freiburg
17.0,5.0,386,Germany,Freiburg
